,City,State,Restaurant
2753,Marion,VA,Wendy's
2754,Memphis,TN,Checker's Drive-in Restaurant
2755,Romulus,MI,Checker's Drive-in Restaurant
2756,Medford,WI,McDonald's
2757,Medford,WI,Hardee's
2758,Smyrna,GA,Checker's Drive-in Restaurant
2759,Statesboro,GA,Checker's Drive-in Restaurant
2760,Mountain Top,PA,McDonald's
2761,Arlington,VA,Five Guys
2762,Clarks Summit,PA,Wendy's
2763,Brookville,PA,Arby's
2764,Tunkhannock,PA,Burger King
2765,Santa Maria,CA,Carl's Jr
2766,Media,PA,Wendy's
2767,Turlock,CA,Taco Bell
2768,Modesto,CA,Jack In The Box
2769,Waupaca,WI,Arby's
2770,Grundy,VA,Hardee's
2771,Hillsville,VA,McDonald's
2772,Hillsville,VA,Hardee's
2773,Placerville,CA,McDonald's
2774,Patterson,CA,McDonald's
2775,Lexington,VA,KFC
2776,Paso Robles,CA,McDonald's
2777,Kettleman City,CA,Taco Bell
2778,Henrico,VA,KFC
2779,Amory,MS,Domino's Pizza
2780,York,PA,McDonald's
2781,Enola,PA,Wendy's
2782,Porterville,CA,Jack In The Box
2783,Providence,RI,KFC
2784,Paso Robles,CA,Jack In The Box
2785,Swansea,MA,McDonald's
2786,Saint George,SC,Waffle House
2787,Conway,SC,McDonald's
2788,Murrells Inlet,SC,McDonald's
2789,Santa Maria,CA,Jack In The Box
2790,Santa Maria,CA,Jack In The Box
2791,Redding,CA,Taco Bell
2792,Goleta,CA,Domino's Pizza
2793,Sanger,CA,McDonald's
2794,Columbia,SC,KFC
2795,Buellton,CA,Taco Bell
2796,Lexington,SC,Hardee's
2798,South Pittsburg,TN,Krystal
2799,Chicago,IL,BIG & little's Restaurant
2800,Columbia,SC,Hardee's
2801,Columbia,SC,KFC
2802,Santa Maria,CA,Taco Bell
2803,Columbia,SC,Waffle House
2804,Batesburg,SC,McDonald's
2805,Camden,SC,Arby's
2806,Waynesboro,GA,Burger King
2807,Longmont,CO,Arby's
2808,Longmont,CO,SONIC Drive-In
2809,North Charleston,SC,McDonald's
2810,Ladson,SC,McDonald's
2811,North Charleston,SC,Burger King
2812,North Charleston,SC,Burger King
2813,Charleston,SC,Five Guys
2814,Hartsville,TN,McDonald's
2815,Valley,AL,Krystal
2816,Bluffton,SC,Wendy's
2817,Ridgeland,SC,McDonald's
2818,Gilbert,AZ,Raising Cane's Chicken Fingers
2819,Spartanburg,SC,Arby's
2820,Ashland City,TN,SONIC Drive-In
2821,Landrum,SC,Bojangles' Famous Chicken 'n Biscuits
2822,Murfreesboro,TN,Wendy's
2823,Nashville,TN,McDonald's
2824,Ashland City,TN,Taco Bell
2825,Florence,SC,SONIC Drive-In
2826,Racine,WI,McDonald's
2827,Bartonsville,PA,SONIC Drive-In
2828,Rapid City,SD,Arby's
2829,Groton,CT,Five Guys
2830,Maryville,TN,McDonald's
2831,Knoxville,TN,QDOBA Mexican Eats
2832,Oak Ridge,TN,Krystal
2833,New Braunfels,TX,McDonald's
2834,Houston,TX,McDonald's
2835,Houston,TX,Taco Bell
2836,Albuquerque,NM,McDonald's
2837,North Charleston,SC,Taco Bell
2838,Fort Lauderdale,FL,KFC
2839,Saint Paul,MN,Subway
2840,Ashland,KY,Captain D's Seafood
2841,New Braunfels,TX,Whataburger
2842,Jackson,AL,Captain D's Seafood
2843,Kansas City,MO,Captain D's Seafood
2844,Leeds,AL,Captain D's Seafood
2845,Twin Falls,ID,Cafe Rio
2846,Rolla,MO,Arby's
2847,Roosevelt,UT,Arby's
2848,Ogden,UT,Carl's Jr
2849,Ridgecrest,CA,Carl's Jr
2850,Pahrump,NV,Carl's Jr
2851,Placerville,CA,Carl's Jr
2852,Mammoth Lakes,CA,Carl's Jr
2853,Sacramento,CA,Carl's Jr
2854,San Marcos,TX,Carl's Jr
2855,North Little Rock,AR,Captain D's Seafood
2856,Arkadelphia,AR,Arby's
2857,Ashtabula,OH,Arby's
2858,Atmore,AL,Arby's
2859,Atlanta,GA,Arby's
2860,Auburn,MA,Arby's
2861,Pittston,PA,Arby's
2862,Pryor,OK,Arby's
2863,Denver,CO,Jimmy John's
2864,Sierra Vista,AZ,Arby's
2865,Sidney,NE,Arby's
2867,Bastrop,TX,Carl's Jr
2868,South Hill,VA,Arby's
2869,Springdale,AR,Arby's
2870,Caldwell,ID,Carl's Jr
2871,Colorado Springs,CO,Carl's Jr
2872,Cottage Grove,OR,Carl's Jr
2873,Fairbanks,AK,Carl's Jr
2874,Cambridge,MN,Arby's
2875,Brewton,AL,Arby's
2876,Benson,NC,Char-Grill
2877,Lompoc,CA,Burger King
2878,Reno,NV,Quiznos Sub
2879,Auburn,CA,KFC
2880,Pleasanton,CA,KFC
2881,Fort Worth,TX,Crispy Chicken & Seafood
2882,Greenfield,IN,KFC
2883,Indianapolis,IN,Arby's
2884,Kent,WA,Jack In The Box
2885,Albuquerque,NM,Wendy's
2886,Frederick,MD,KFC
2887,Norcross,GA,KFC
2888,Antioch,IL,KFC
2889,Capitol Heights,MD,Taco Bell
2890,Joliet,IL,KFC
2891,Lenexa,KS,KFC
2892,Chesterfield,MO,Five Guys
2893,Superior,WI,Arby's
2894,Becker,MN,McDonald's
2895,Grand Rapids,MI,Burger King
2896,Saint Paul,MN,Burger King
2897,Anoka,MN,Taco Bell
2898,Saint Cloud,MN,Topper's Pizza
2899,Nisswa,MN,Wendy's
2900,Pelham,AL,KFC
2901,Pelham,AL,Wendy's
2902,Pell City,AL,McDonald's
2903,Pompano Beach,FL,McDonald's
2904,Baraboo,WI,Jimmy John's
2905,Birmingham,AL,McDonald's
2906,Pell City,AL,Taco Bell
2907,Gurnee,IL,Chick-Fil-A
2908,Pell City,AL,Arby's
2909,Chesaning,MI,Burger King
2910,Gadsden,AL,Arby's
2911,Maumelle,AR,KFC
2912,Pompano Beach,FL,McDonald's
2913,Traverse City,MI,KFC
2914,North Little Rock,AR,Rally's Hamburgers
2915,Traverse City,MI,Burger King
2916,Traverse City,MI,Burger King
2917,Traverse City,MI,Burger King
2918,Midland,MI,Taco Bell
2919,Columbus,GA,McDonald's
2920,Muskegon,MI,Burger King
2921,Muskegon,MI,Burger King
2922,Muskegon,MI,Burger King
2923,Muskegon,MI,Burger King
2924,Traverse City,MI,Taco Bell
2925,Hallandale,FL,KFC
2926,Longmont,CO,Taco Bell
2927,Bemidji,MN,Arby's
2928,Bemidji,MN,Jimmy John's
2929,Tucson,AZ,Chick-Fil-A
2930,Stone Mountain,GA,Burger King
2931,Mankato,MN,Culver's
2932,Atlanta,GA,Burger King
2933,Mankato,MN,Topper's Pizza
2934,La Quinta,CA,Del Taco
2935,Palm Desert,CA,Del Taco
2936,Oxon Hill,MD,Burger King
2937,Coachella,CA,McDonald's
2938,College Park,MD,Burger King
2939,Fredericksburg,VA,Burger King
2940,Joplin,MO,SONIC Drive-In
2941,Joplin,MO,Wendy's
2942,Joplin,MO,Jimmy John's
2943,Tupelo,MS,Wendy's
2944,Tupelo,MS,McDonald's
2945,Tupelo,MS,Krystal
2946,Arnold,MO,Fazoli's
2947,Saint Clair Shores,MI,KFC
2948,O Fallon,MO,Lion's Choice
2949,Overland Park,KS,Chick-Fil-A
2950,Palmdale,CA,Popeye's Louisiana Kitchen
2951,Jefferson City,MO,Wendy's
2952,Jefferson City,MO,Arby's
2953,Saint Louis,MO,McDonald's
2954,Warrenton,MO,McDonald's
2955,Bolivar,MO,Kum & Go
2956,Springfield,MO,SONIC Drive-In
2957,Collinsville,IL,Taco Bell
2958,Saint Charles,MO,Subway
2959,Edwardsville,IL,Subway
2960,Pittsburgh,PA,KFC
2961,Jacksonville,FL,McDonald's
2962,Jerseyville,IL,McDonald's
2963,Bethalto,IL,McDonald's
2964,Arvada,CO,Culver's
2965,Wilmington,NC,Chick-Fil-A
2966,Leland,NC,Hardee's
2967,Gulfport,AL,McDonald's
2968,Santa Ana,CA,McDonald's
2969,Georgetown,OH,Long John Silver's
2970,Hannibal,MO,Long John Silver's
2971,Jasper,IN,Long John Silver's
2972,San Pablo,CA,KFC
2973,Lompoc,CA,Jack In The Box
2974,York,SC,Bojangles' Famous Chicken 'n Biscuits
2975,Citrus Heights,CA,McDonald's
2976,Memphis,TN,Fazoli's
2977,Minneapolis,MN,KFC
2978,Denver,CO,KFC
2979,Memphis,TN,Burger King
2980,Memphis,TN,Burger King
2981,Memphis,TN,Burger King
2982,Gastonia,NC,Arby's
2983,Modesto,CA,Jack In The Box
2984,Patterson,CA,Jack In The Box
2985,Warrenton,VA,KFC
2986,Fort Worth,TX,KFC
2987,Mount Carmel,IL,Long John Silver's
2988,Vandalia,IL,Long John Silver's
2989,Palm Harbor,FL,KFC
2990,New Stanton,PA,McDonald's
2991,Irwin,PA,McDonald's
2992,Griffin,GA,KFC
2993,Kutztown,PA,Arby's
2994,Medford,OR,Taco Delight
2995,Georgetown,KY,Arby's
2996,Murfreesboro,TN,KFC
2997,Greensboro,NC,Arby's
2998,Arnold,MO,Raising Cane's Chicken Fingers
2999,Belmont,NC,Arby's
3000,Reno,NV,Jimmy John's
3001,Paso Robles,CA,Jack In The Box
3002,Massillon,OH,Arby's
3003,Pomeroy,OH,KFC
3004,Murfreesboro,TN,KFC
3005,Atwater,CA,McDonald's
3006,Traverse City,MI,KFC
3007,Mason City,IA,Jimmy John's
3008,Arkadelphia,AR,KFC
3009,Libertyville,IL,Jimmy John's
3010,Henderson,NV,Jimmy John's
3011,Hudson,WI,Jimmy John's
3012,Waynesboro,GA,KFC
3013,Johnson City,TN,Jimmy John's
3014,Menomonie,WI,Jimmy John's
3015,Mesquite,TX,Jimmy John's
3016,Mobile,AL,Jimmy John's
3017,Monticello,MN,Jimmy John's
3018,Mount Vernon,IL,Jimmy John's
3019,Bloomington,IL,KFC
3020,Bloomington,IL,KFC
3021,Blue Springs,MO,KFC
3022,Bluffton,IN,KFC
3023,Brattleboro,VT,KFC
3024,Fort Worth,TX,Jimmy John's
3025,Hastings,NE,Jimmy John's
3026,Indianola,IA,Jimmy John's
3027,Oswego,NY,KFC
3028,Osceola,IA,KFC
3029,Staunton,VA,KFC
3030,Tazewell,TN,KFC
3031,Pekin,IL,KFC
3032,Milwaukee,WI,KFC
3034,Winnsboro,SC,KFC
3035,Park Hills,MO,KFC
3036,Bedford,IN,KFC
3037,Belleville,MI,KFC
3038,Cincinnati,OH,KFC
3039,Cleveland,MS,KFC
3040,Chesterfield,VA,KFC
3041,Chicago,IL,KFC
3042,Cincinnati,OH,KFC
3043,Snohomish,WA,KFC
3044,South Hill,VA,KFC
3045,South Bend,IN,KFC
3046,Ellisville,AL,KFC
3047,Fayetteville,NC,KFC
3048,Wheatland,WY,Burger King
3049,Wilkes Barre,PA,Burger King
3050,Wilmington,IL,Burger King
3051,Buda,TX,KFC
3052,Cathedral City,CA,KFC
3053,North Platte,NE,Jimmy John's
3054,North Little Rock,AR,Jimmy John's
3055,Staunton,VA,Jimmy John's
3056,Superior,WI,Jimmy John's
3057,Rexburg,ID,Jimmy John's
3058,Traverse City,MI,Jimmy John's
3059,Saint Charles,MO,Jimmy John's
3060,Twin Falls,ID,Jimmy John's
3061,Newport,KY,KFC
3062,Trinidad,CO,KFC
3063,Chambersburg,PA,Kenny's Drive-In
3064,Liberty,TX,KFC
3065,Waterbury,CT,Arby's
3066,New Haven,CT,Burger King
3067,Farmington,CT,Wendy's
3068,Hartford,CT,Burger King
3069,Hartford,CT,Wendy's
3070,Colorado Springs,CO,Burger King
3071,West Palm Beach,FL,Pollo Tropical
3072,Lake Worth,FL,Burger King
3073,West Palm Beach,FL,Burger King
3074,West Palm Beach,FL,Burger King
3075,Jupiter,FL,McDonald's
3076,Wellington,FL,McDonald's
3077,Lakeland,FL,McDonald's
3078,Fort Lauderdale,FL,Burger King
3079,New Port Richey,FL,McDonald's
3080,Saint Petersburg,FL,McDonald's
3081,Hudson,FL,McDonald's
3082,New Port Richey,FL,KFC
3083,Miami,FL,Burger King
3084,Tampa,FL,McDonald's
3085,Hollywood,FL,KFC
3086,Fort Lauderdale,FL,McDonald's
3087,Jacksonville,FL,Krystal
3088,Fort Lauderdale,FL,Burger King
3089,Melbourne,FL,Burger King
3090,Cincinnati,OH,Chick-Fil-A
3091,Cincinnati,OH,White Castle
3092,Florence,KY,Jimmy John's
3093,Evanston,IL,Burger King
3094,Marion,IA,McDonald's
3095,Altoona,IA,McDonald's
3096,Hollywood,FL,KFC
3097,West Deptford,NJ,Arby's
3098,Trenton,MI,KFC
3099,Waterford,MI,Jimmy John's
3100,Atlanta,GA,Pita Pit
3101,Pompano Beach,FL,Pollo Tropical
3102,Pekin,IL,McDonald's
3103,Perry,OK,McDonald's
3104,Jacksonville,AR,McDonald's
3105,Jackson,WY,McDonald's
3106,Jackson,AL,McDonald's
3107,Newington,CT,"MOOYAH Burgers, Fries & Shakes"
3109,North Versailles,PA,McDonald's
3110,Lonoke,AR,McDonald's
3111,Loogootee,IN,McDonald's
3112,Anchorage,AK,McDonald's
3113,Rockdale,TX,McDonald's
3114,Roosevelt,UT,McDonald's
3115,Williamsport,PA,McDonald's
3116,Huron,OH,McDonald's
3117,Plover,WI,McDonald's
3118,Willimantic,CT,McDonald's
3119,Pomeroy,OH,McDonald's
3120,Willoughby,OH,McDonald's
3121,Pittsburgh,PA,McDonald's
3122,Pittsfield,IL,McDonald's
3123,Pontotoc,MS,McDonald's
3124,Pontiac,IL,McDonald's
3125,Huntington,IN,McDonald's
3126,Indianapolis,IN,McDonald's
3127,Indianola,IA,McDonald's
3128,Indianapolis,IN,McDonald's
3129,Lake Ozark,MO,McDonald's
3130,Colchester,VT,McDonald's
3131,West Deptford,NJ,McDonald's
3132,Louisville,KY,Waffle House
3133,Centralia,IL,Wendy's
3134,Greenwood,IN,Long John Silver's
3135,North Hills,CA,KFC
3136,Roanoke Rapids,NC,McDonald's
3137,Roanoke Rapids,NC,Hardee's
3138,Roanoke Rapids,NC,Chick-Fil-A
3139,Roanoke Rapids,NC,Taco Bell
3140,Roanoke Rapids,NC,Wendy's
3141,Roanoke Rapids,NC,Burger King
3142,Saint Pauls,NC,Burger King
3143,Red Springs,NC,McDonald's
3144,Cincinnati,OH,Boston Market
3145,Rockingham,NC,Arby's
3146,Aberdeen,NC,KFC
3147,Spencer,NC,Bojangles' Famous Chicken 'n Biscuits
3148,Hickory,NC,McDonald's
3149,Newington,CT,Boston Market
3150,Lawrence,MA,Boston Market
3151,Crestwood,IL,Boston Market
3152,Pittsburgh,PA,Boston Market
3153,Rocky Mount,NC,McDonald's
3154,West Hartford,CT,Boston Market
3155,New Bern,NC,Chick-Fil-A
3156,Midway Park,NC,Taco Bell
3157,Altoona,IA,Burger King
3158,Aloha,OR,Burger King
3159,Burlington,NC,Bojangles' Famous Chicken 'n Biscuits
3160,Eden,NC,Taco Bell
3161,Locust,NC,Bojangles' Famous Chicken 'n Biscuits
3162,Albemarle,NC,Taco Bell
3163,Chambersburg,PA,Burger King
3164,Bloomington,IL,Burger King
3165,Albemarle,NC,Arby's
3166,Jamestown,ND,McDonald's
3167,Jamestown,ND,Hardee's
3168,Jamestown,ND,Arby's
3169,Jamestown,ND,Domino's Pizza
3170,Minot,ND,McDonald's
3171,Minot,ND,Arby's
3172,Minot,ND,Burger King
3173,Minot,ND,Pita Pit
3174,Dumas,AR,SONIC Drive-In
3175,Winslow,AZ,SONIC Drive-In
3176,Edwardsville,IL,SONIC Drive-In
3177,Yuma,AZ,SONIC Drive-In
3178,Mount Orab,OH,Skyline Chili
3179,Bonney Lake,WA,SONIC Drive-In
3180,Oxford,OH,Skyline Chili
3181,Bristow,OK,SONIC Drive-In
3182,Independence,KY,Skyline Chili
3184,Leland,MS,SONIC Drive-In
3185,Conway,AR,SONIC Drive-In
3186,Mandan,ND,Hardee's
3187,Wahpeton,ND,Subway
3188,Wahpeton,ND,Burger King
3189,Lexington,NC,Wendy's
3190,Lexington,NC,Arby's
3191,Winston Salem,NC,McDonald's
3192,Mount Airy,NC,Arby's
3193,Mount Airy,NC,Wendy's
3194,Mount Airy,NC,KFC
3195,Mount Airy,NC,Bojangles' Famous Chicken 'n Biscuits
3196,Mount Airy,NC,Taco Bell
3197,Mount Airy,NC,McDonald's
3198,Mount Airy,NC,Hardee's
3199,Mount Airy,NC,Hardee's
3200,Mount Airy,NC,McDonald's
3201,Concord,NH,McDonald's
3202,Franklin,NH,McDonald's
3203,Concord,NH,Taco Bell
3204,Frisco,TX,Slim Chickens
3205,Helotes,TX,Slim Chickens
3206,Morrilton,AR,McDonald's
3207,Lowell,IN,McDonald's
3208,Lumberton,TX,McDonald's
3209,South Windsor,CT,McDonald's
3210,South Burlington,VT,McDonald's
3211,South Burlington,VT,McDonald's
3212,South Hill,VA,McDonald's
3213,Walton,KY,McDonald's
3214,Warrenton,VA,McDonald's
3215,Waterbury,CT,McDonald's
3216,Warsaw,MO,McDonald's
3217,Tulsa,OK,McDonald's
3218,Troy,MO,McDonald's
3219,Mc Calla,AL,McDonald's
3220,Woodville,TX,McDonald's
3221,Vernon Rockville,CT,McDonald's
3222,Vernon Rockville,CT,McDonald's
3223,Millville,NJ,KFC
3224,Salida,CO,SONIC Drive-In
3225,San Antonio,TX,SONIC Drive-In
3226,Oscoda,MI,McDonald's
3227,Orrville,OH,McDonald's
3228,Seminole,OK,SONIC Drive-In
3229,Scottsville,KY,SONIC Drive-In
3230,Sedalia,MO,SONIC Drive-In
3231,Sedalia,MO,SONIC Drive-In
3232,Ottumwa,IA,McDonald's
3233,Ottawa,IL,McDonald's
3234,Owens Cross Roads,AL,McDonald's
3235,Fallon,NV,SONIC Drive-In
3236,Flint,MI,SONIC Drive-In
3237,Foley,AL,SONIC Drive-In
3238,Paris,KY,McDonald's
3239,Parker,CO,McDonald's
3240,Parker,AZ,McDonald's
3241,Pahrump,NV,McDonald's
3242,Page,AZ,McDonald's
3243,Panama City Beach,FL,McDonald's
3244,Richmond,VA,McDonald's
3246,Walnut Ridge,AR,SONIC Drive-In
3247,Warren,AR,SONIC Drive-In
3248,Twin Falls,ID,SONIC Drive-In
3249,Washington,MO,SONIC Drive-In
3250,Waynesboro,GA,SONIC Drive-In
3251,Dubuque,IA,Shot Tower Inn
3252,Keene,NH,McDonald's
3253,Cleveland,MS,SONIC Drive-In
3254,Colorado Springs,CO,SONIC Drive-In
3255,Keene,NH,Five Guys
3256,Checotah,OK,SONIC Drive-In
3257,Oneonta,AL,SONIC Drive-In
3258,Oroville,CA,SONIC Drive-In
3259,Pahrump,NV,SONIC Drive-In
3260,Pagosa Springs,CO,SONIC Drive-In
3261,Stuttgart,AR,SONIC Drive-In
3262,Tahlequah,OK,SONIC Drive-In
3263,West Hartford,CT,McDonald's
3264,West Haven,CT,McDonald's
3265,West Haven,CT,McDonald's
3267,New Palestine,IN,McDonald's
3268,New Richmond,WI,McDonald's
3269,New Ulm,MN,McDonald's
3270,New Britain,CT,McDonald's
3271,New Boston,TX,McDonald's
3272,New London,CT,McDonald's
3273,Troy,MO,SONIC Drive-In
3274,Tucumcari,NM,SONIC Drive-In
3275,Jasper,TX,McDonald's
3276,Arkadelphia,AR,SONIC Drive-In
3277,Auburn,NE,SONIC Drive-In
3278,Batesville,AR,SONIC Drive-In
3279,Baxter Springs,KS,SONIC Drive-In
3280,Rochester,MN,McDonald's
3281,Valley,AL,McDonald's
3282,Valdosta,GA,McDonald's
3283,Tupelo,MS,McDonald's
3284,Tuskegee,AL,McDonald's
3285,Unionville,CT,McDonald's
3286,Vidalia,GA,McDonald's
3287,Vinita,OK,McDonald's
3288,Lexington,NC,McDonald's
3289,Lexington,VA,McDonald's
3290,Linden,MI,McDonald's
3291,Louisa,KY,McDonald's
3292,Kearney,MO,McDonald's
3293,Mount Crawford,VA,McDonald's
3294,Mount Carmel,IL,McDonald's
3295,Joplin,MO,McDonald's
3296,Joplin,MO,McDonald's
3297,Mountain Home,ID,McDonald's
3298,Kanab,UT,McDonald's
3299,Jefferson City,MO,McDonald's
3300,Kenai,AK,McDonald's
3301,Stanton,KY,McDonald's
3302,Springtown,TX,McDonald's
3303,Laramie,WY,McDonald's
3304,Caldwell,ID,SONIC Drive-In
3305,Buda,TX,SONIC Drive-In
3306,Centerville,TN,SONIC Drive-In
3307,Centralia,MO,SONIC Drive-In
3308,Scottsville,KY,McDonald's
3309,Norfolk,NE,Domino's Pizza
3310,Blacksburg,SC,Wendy's
3311,Gaffney,SC,Krystal
3312,Saint Paul,MN,KFC
3313,Hamburg,NJ,Domino's Pizza
3314,Missoula,MT,McDonald's
3315,Clarksdale,MS,Domino's Pizza
3316,Jackson,WY,Domino's Pizza
3318,Helena,MT,Quiznos Sub
3319,Laurel,MT,Hardee's
3320,Evanston,WY,Domino's Pizza
3321,Horn Lake,MS,Domino's Pizza
3322,Hernando,MS,Domino's Pizza
3323,Great Falls,MT,Domino's Pizza
3324,Spruce Pine,NC,Taco Bell
3325,Statesville,NC,McDonald's
3326,Statesville,NC,Hardee's
3327,Sylva,NC,Bojangles' Famous Chicken 'n Biscuits
3328,Bennettsville,SC,McDonald's
3329,Greenville,NC,Arby's
3330,Greenville,NC,McDonald's
3331,Greenville,NC,McDonald's
3332,Dunn,NC,Bojangles' Famous Chicken 'n Biscuits
3333,Spartanburg,SC,Waffle House
3334,Swansboro,NC,McDonald's
3335,West Palm Beach,FL,KFC
3336,Plainfield,NJ,Burger King
3337,Caldwell,NJ,Burger King
3338,Burlington,NC,Bojangles' Famous Chicken 'n Biscuits
3339,Ahoskie,NC,Burger King
3340,Sanford,NC,Arby's
3341,Henderson,NC,Wendy's
3342,Norwich,NY,McDonald's
3343,Oceanside,NY,Burger King
3344,Laurinburg,NC,Wendy's
3345,Laurinburg,NC,Arby's
3346,Laurinburg,NC,McDonald's
3347,Laurinburg,NC,KFC
3348,Scottsbluff,NE,SONIC Drive-In
3349,Scottsbluff,NE,Arby's
3350,North Platte,NE,Quiznos Sub
3351,Wayne,NE,McDonald's
3352,Meridian,ID,Jimmy John's
3353,Boise,ID,Pizza Hut
3354,Watertown,SD,Jimmy John's
3355,Huron,SD,Domino's Pizza
3356,Huron,SD,Burger King
3357,Huron,SD,McDonald's
3358,Rapid City,SD,McDonald's
3359,Rapid City,SD,Hardee's
3360,Rapid City,SD,McDonald's
3361,Rapid City,SD,Hardee's
3362,Rapid City,SD,Hardee's
3363,Rapid City,SD,McDonald's
3364,Aberdeen,SD,Wendy's
3365,Aberdeen,SD,Taco Bell
3366,Aberdeen,SD,McDonald's
3367,Aberdeen,SD,McDonald's
3368,Aberdeen,SD,Arby's
3369,Henderson,NV,Wendy's
3370,Espanola,NM,Taco Bell
3371,Espanola,NM,Wendy's
3372,Carson City,NV,Wendy's
3373,Carson City,NV,Taco Bell
3374,Carson City,NV,Jack In The Box
3375,Las Vegas,NV,Domino's Pizza
3376,Fallon,NV,KFC
3377,Fallon,NV,Taco Bell
3378,Fallon,NV,McDonald's
3379,Fallon,NV,Jack In The Box
3380,Taos,NM,Pizza Hut
3381,Ruidoso,NM,Taco Bell
3382,Taos,NM,Domino's Pizza
3383,Raton,NM,Domino's Pizza
3384,Los Lunas,NM,Domino's Pizza
3385,Albuquerque,NM,Domino's Pizza
3386,Albuquerque,NM,Domino's Pizza
3387,Albuquerque,NM,Burger King
3388,Ruidoso,NM,Domino's Pizza
3389,Ruidoso,NM,McDonald's
3390,Silver City,NM,Wendy's
3391,Silver City,NM,Blake's LotaBurger
3392,Silver City,NM,Arby's
3393,Socorro,NM,Burger King
3394,Socorro,NM,McDonald's
3395,Socorro,NM,Domino's Pizza
3396,Socorro,NM,Arby's
3397,Truth Or Consequences,NM,McDonald's
3398,Tucumcari,NM,McDonald's
3399,Del Rio,TX,SONIC Drive-In
3400,Niagara Falls,NY,Burger King
3401,Crossville,TN,Wendy's
3402,Crossville,TN,Taco Bell
3403,Harriman,TN,Wendy's
3404,Harriman,TN,Taco Bell
3405,Watertown,SD,Domino's Pizza
3406,Watertown,SD,Culver's
3407,Watertown,SD,Arby's
3408,Watertown,SD,McDonald's
3409,Watertown,SD,McDonald's
3410,Jonesborough,TN,Bojangles' Famous Chicken 'n Biscuits
3411,Johnson City,TN,Taco Bell
3412,Port Washington,NY,Burger King
3413,Greenville,MS,Hardee's
3414,Griffin,GA,Hardee's
3415,Greencastle,PA,Hardee's
3416,Cobleskill,NY,McDonald's
3417,Cynthiana,KY,Hardee's
3418,Albany,NY,Burger King
3419,East Moline,IL,Hardee's
3420,Fort Dodge,IA,Hardee's
3421,Fort Madison,IA,Hardee's
3422,Burlington,VT,Handy's Lunch
3423,Trenton,MO,Hardee's
3424,Trenton,GA,Hardee's
3425,Tupelo,MS,Hardee's
3426,Newton Falls,OH,Arby's
3427,South Hill,VA,Hardee's
3428,Spring City,TN,Hardee's
3429,Stuart,VA,Hardee's
3430,Somerset,NJ,Hardee's
3431,Ballinger,TX,SONIC Drive-In
3432,Bay City,TX,McDonald's
3433,Bay City,TX,Jack In The Box
3434,Waco,TX,McDonald's
3435,Port Jefferson Station,NY,Five Guys
3436,Hillsboro,TX,Taco Bell
3437,Wading River,NY,McDonald's
3438,Elyria,OH,Burger King
3439,Delaware,OH,McDonald's
3440,Hillsboro,TX,Jack In The Box
3441,Hillsboro,TX,Burger King
3442,Cleveland,OH,Taco Bell
3443,Cleveland,OH,Burger King
3444,Cleveland,OH,Long John Silver's
3445,El Campo,TX,Jack In The Box
3446,Martinsville,VA,McDonald's
3447,Dayton,OH,KFC
3448,Staunton,VA,McDonald's
3449,Batesville,IN,Wendy's
3450,Burlington,KY,White Castle
3451,Alexandria,KY,Burger King
3452,West Chester,OH,Burger King
3453,Milwaukee,WI,KFC
3454,Cincinnati,OH,Wendy's
3455,Hebron,KY,Gold Star Chili
3456,Mason,OH,QDOBA Mexican Eats
3457,Ravenna,OH,Wendy's
3458,Gainesville,TX,Wendy's
3459,Lewistown,PA,McDonald's
3460,New Market,VA,McDonald's
3461,Radford,VA,Bojangles' Famous Chicken 'n Biscuits
3462,Blacksburg,VA,Bojangles' Famous Chicken 'n Biscuits
3463,Christiansburg,VA,Hardee's
3464,Christiansburg,VA,Arby's
3465,Christiansburg,VA,Taco Bell
3466,Salem,VA,McDonald's
3467,Salem,VA,McDonald's
3468,Roanoke,VA,McDonald's
3469,Burlington,KY,Gold Star Chili
3470,Newport,KY,Arby's
3471,Harrison,OH,Waffle House
3472,Newport,KY,Wendy's
3473,Cincinnati,OH,KFC
3474,Canton,OH,Wendy's
3475,Cincinnati,OH,Wendy's
3476,Bridgewater,VA,McDonald's
3477,Harrisonburg,VA,McDonald's
3478,Cincinnati,OH,White Castle
3479,Cincinnati,OH,McDonald's
3480,Minerva,OH,Hardee's
3481,Carrollton,OH,Wendy's
3482,Cincinnati,OH,McDonald's
3483,Newport,KY,Taco Bell
3484,Oxford,OH,Jimmy John's
3485,Greenup,KY,Arby's
3486,Ashland,KY,Arby's
3487,Yukon,OK,McDonald's
3488,Sherwood,OR,McDonald's
3489,Wilkes Barre,PA,Wendy's
3490,Kingston,PA,Arby's
3491,Richlands,VA,McDonald's
3492,Red Bud,IL,McDonald's
3493,Rensselaer,IN,McDonald's
3494,Romulus,MI,McDonald's
3495,Saratoga Springs,NY,McDonald's
3496,North Branch,MN,McDonald's
3498,Marathon,WI,McDonald's
3499,Newport,KY,McDonald's
3500,Newton,IA,McDonald's
3501,North Little Rock,AR,McDonald's
3502,North Little Rock,AR,McDonald's
3505,Springdale,AR,SONIC Drive-In
3506,Rochelle,IL,McDonald's
3507,Robinson,IL,McDonald's
3508,Ridgecrest,CA,McDonald's
3509,Ripley,TN,McDonald's
3510,Mineola,TX,McDonald's
3511,Midland,MI,McDonald's
3512,Mineral Wells,TX,McDonald's
3513,Pittsburgh,PA,KFC
3514,Okmulgee,OK,McDonald's
