,Address,City,Latitude,Longitude,State,Restaurant
79,955 S Main St,Brigham City,41.49113,-112.01555,UT,Taco Bell
80,875 W 1150 S,Brigham City,41.48561,-112.02933999999999,UT,Subway
81,524 Indian Boundary Rd,Chesterton,41.6165,-87.0439,IN,Jimmy John's
82,801 University St,Martin,36.3485,-88.87344,TN,McDonald's
83,2505 State Rd,La Crosse,43.79609,-91.21769,WI,Hardee's
84,1610 Sycamore View Rd,Memphis,35.1694,-89.86479,TN,McDonald's
85,2437 George St,La Crosse,43.85742,-91.23993,WI,McDonald's
86,813 N Central Ave,Marshfield,44.674233,-90.168369,WI,Taco John's
87,1101 N Central Ave,Marshfield,44.67742,-90.16521,WI,McDonald's
88,4601 Northfield Rd,Cleveland,41.433314,-81.523935,OH,Mr. Hero
89,1601 W Lincoln Ave,Yakima,46.6039,-120.53093,WA,McDonald's
90,5706 W 7800 S,West Jordan,40.60985,-112.0266,UT,McDonald's
91,1014 Highway 82 E,Indianola,33.45785,-90.63563,MS,Taco Bell
92,640 Huebner Rd,Fort Riley,39.0644,-96.79881,KS,Domino's Pizza
93,1418 W Sunset Blvd,Saint George,37.122977,-113.613499,UT,Taco Bell
94,610 E Saint George Blvd,Saint George,37.109869,-113.57028600000001,UT,Taco Bell
95,4651 W 6th St,Lawrence,38.971514,-95.301449,KS,Pizza Hut
96,5540 Old Cheney Rd,Lincoln,40.75546,-96.64543,NE,Amigos/Kings Classic
97,7501 W 135th St,Overland Park,38.88353,-94.67200000000001,KS,Raising Cane's Chicken Fingers
98,4204 Milan Rd,Sandusky,41.418409999999994,-82.67352,OH,McDonald's
99,6300 Gulf Fwy,La Marque,29.3676,-94.97416,TX,Whataburger
100,1302 Highway 35 N,Rockport,28.036688,-97.04238000000001,TX,McDonald's
101,3515 Springdale Rd,Cincinnati,39.25009,-84.59411,OH,Domino's Pizza
102,7720 Laurel Ave,Cincinnati,39.18985,-84.36206999999999,OH,Domino's Pizza
103,123 Creekside Xing,New Braunfels,29.7279,-98.07611999999999,TX,Whataburger
104,793 Roosevelt Trl,Windham,43.83887,-70.44216999999999,ME,Burger King
105,14700 E Indiana Ave,Spokane,47.673976,-117.20639399999999,WA,Taco Time
106,201 Commerce Dr,Jefferson City,38.59259,-92.2254,MO,SONIC Drive-In
107,3124 S Ten Mile Dr,Jefferson City,38.58068,-92.2352,MO,McDonald's
108,1417 Jackson Ave W,Oxford,34.367290000000004,-89.54978,MS,Coop DeVille
109,2984 Upland Pkwy,Sidney,41.138000000000005,-102.98557,NE,McDonald's
110,1002 J St,Auburn,40.39457,-95.83913000000001,NE,Amigos/Kings Classic
111,191 7th St,Garden City,40.725253,-73.634393,NY,B. Good
112,544 Conestoga Pkwy,Shepherdsville,37.9978,-85.70737,KY,Domino's Pizza
113,101 Smith Rd,Glasgow,37.0082,-85.92208000000001,KY,McDonald's
115,131 S Highway 27,Somerset,37.092240000000004,-84.61883,KY,McDonald's
116,1511 C Goff Blvd S W Plaza Rio Shpg Ctr,Albuquerque,35.085335,-106.60555,NM,Domino's Pizza
117,4800 Frederica St,Owensboro,37.723743,-87.12389399999999,KY,McDonald's
120,7849 Tramway Blvd NE Ste D,Albuquerque,35.17351,-106.49703000000001,NM,Domino's Pizza
121,400 Clifty Dr,Madison,38.77544,-85.39367,IN,Rally's Hamburgers
126,314 E Carpenter St,Cleveland,33.75489,-90.71678,MS,Backyard Burgers
127,120 S Davis Ave,Cleveland,33.74364,-90.71593,MS,McDonald's
128,1231 Holcomb Blvd,Camp Lejeune,34.72418,-77.34444,NC,Wendy's
129,112 E 2nd St,Duluth,46.78937,-92.09841,MN,Domino's Pizza
130,976 William H Wilson Ave Ste 100,Fort Stewart,31.8613,-81.61078,GA,Burger King
131,2910 Lurleen B Wallace Blvd,Northport,33.236442,-87.57686899999999,AL,SONIC Drive-In
132,2441 James St,Coralville,41.68432,-91.60353,IA,Domino's Pizza
133,602 Highway 31 SW,Hartselle,34.439438,-86.940455,AL,Taco Bell
134,107 Jordan Plz,Elizabeth City,36.29457,-76.23925,NC,Domino's Pizza
135,905 W Corbett Ave,Swansboro,34.69765,-77.14086,NC,McDonald's
136,2001 Sutton Ln,Sutton,38.70084,-80.664158,WV,Arby's
137,161 Church St,Burlington,44.47568,-73.21264000000001,VT,Pacific Rim
138,3716 7th St,Bay City,28.9826,-95.94636,TX,Taco Bell
139,443 Killian Rd,Columbia,34.13885,-80.95378000000001,SC,Panda Express
140,122 Hayward Ave,Ames,42.02193,-93.65164,IA,Domino's Pizza
141,1306 Scotland Crossing Dr,Laurinburg,34.760626,-79.487148,NC,Taco Bell
142,1700 Norman Dr Spc 1056,Valdosta,30.843770000000003,-83.32041,GA,Chick-Fil-A
143,502 W Columbia Ave,Batesburg,33.903931,-81.545787,SC,Hardee's
144,4965 Centre Pointe Dr,North Charleston,32.87129,-80.02056,SC,Domino's Pizza
145,2441 Northgate St,Ottumwa,41.04905,-92.41165,IA,McDonald's
146,903 E Milam St,Mexia,31.68468,-96.47389,TX,McDonald's
148,4021 Interstate Highway 69 Access Rd,Corpus Christi,27.856990000000003,-97.63067,TX,Whataburger
149,839 E Mulberry St,Angleton,29.165886999999998,-95.422475,TX,Jack In The Box
151,1855 Main Ave N,Tillamook,45.486681,-123.845556,OR,McDonald's
152,400 Downs Blvd Ste 100,Franklin,35.90875,-86.88409,TN,Domino's Pizza
153,808 E Liberty St,Mexico,39.16989,-91.87478,MO,SONIC Drive-In
154,701 E Main St,Park Hills,37.84401,-90.50350999999999,MO,SONIC Drive-In
155,3039 W Peoria Ave,Phoenix,33.581838,-112.124385,AZ,Samurai Sam's
156,324 W Bypass,Andalusia,31.307890000000004,-86.4999,AL,Arby's
157,1411 Q St,Lincoln,40.814503,-96.700905,NE,Amigos/Kings Classic
158,525 W Crawford St,Clay Center,39.379059999999996,-97.14248,KS,SONIC Drive-In
159,5802 S Broadway Ave,Tyler,32.28572,-95.30372,TX,McDonald's
160,3112 N Navarro St,Victoria,28.82378,-97.000727,TX,McDonald's
161,2 N Mineral St,Keyser,39.44023,-78.97744,WV,Subway
162,1845 Fry Rd,Katy,29.79332,-95.71956,TX,McDonald's
163,100 W Loop 340,Woodway,31.512109999999996,-97.18724,TX,Whataburger
164,104 E Grant St,Roma,26.402690000000003,-99.01235,TX,McDonald's
165,441 Craig St,Buffalo,31.45096,-96.07826,TX,McDonald's
166,2111 Ave F NW US 287,Childress,34.43504,-100.22784,TX,McDonald's
167,1005 S 14th St,Kingsville,27.50749,-97.85649000000001,TX,Taco Bell
168,4622 S Fort Hood St,Killeen,31.078090000000003,-97.75698,TX,McDonald's
169,404 N Wood St,Gilmer,32.73227,-94.94278,TX,Taco Bell
170,7104 S Fry Rd,Katy,29.71927,-95.78177,TX,McDonald's
171,1265 S Wheeler St,Jasper,30.911920000000002,-93.99569,TX,McDonald's
172,307 E Wise St,Bowie,33.557809000000006,-97.84626800000001,TX,McDonald's
173,705 N McCoy Blvd,New Boston,33.4717,-94.4091,TX,Taco Bell
174,821 S Sam Houston Blvd,San Benito,26.12559,-97.63723,TX,McDonald's
175,2652 S Nc 127 Hwy,Hickory,35.691720000000004,-81.35675,NC,Domino's Pizza
176,1696 N Center St,Lonoke,34.798159999999996,-91.89095999999999,AR,SONIC Drive-In
178,1449 Papillion Dr,Papillion,41.141563,-96.01308,NE,Domino's Pizza
179,323 N 114th St,Omaha,41.2606,-96.09081,NE,Domino's Pizza
180,102 Pavilion Pkwy,Newport,39.09245,-84.4806,KY,Domino's Pizza
181,998 Nc Highway 150 W A,Greensboro,36.20043,-79.84375,NC,Domino's Pizza
182,1518 N Ed Carey Dr,Harlingen,26.17221,-97.67362,TX,Taco Bell
183,1501 7th St,Las Vegas,35.60569,-105.22363,NM,McDonald's
184,1130 Burlington St,Holdrege,40.42485,-99.3797,NE,SONIC Drive-In
185,1630 S Broadway,Minot,48.21665,-101.29666,ND,Taco Bell
186,801 Dakota Ave,Wahpeton,46.26365,-96.61158,ND,Taco John's
187,223 N Josephine Ave,Madison,44.006215999999995,-97.11824200000001,SD,Taco John's
188,327 S Canal St,Carlsbad,32.41713,-104.2292,NM,McDonald's
190,2000 N Date St,Truth Or Consequences,33.152440000000006,-107.24683999999999,NM,SONIC Drive-In
191,320 NW 2nd St,Madison,44.007172,-97.115957,SD,McDonald's
192,681 W Bridge St,Owatonna,44.084414,-93.241752,MN,Taco Bell
193,2121 E Grand Ave,Laramie,41.30959,-105.56668,WY,Taco Bell
194,1401 Mill St,Belle Fourche,44.66263,-103.85504,SD,Taco John's
196,600 N Grand Ave,Tahlequah,35.9196,-94.96673,OK,
