name,new_name
Dual - Carls / Grn Burrito 1100654,Dual - Carls / Grn Burrito 1100654
Dunkin Donuts,Dunkin Donuts
Dunkin' Donuts,Dunkin' Donuts
Eagan's Drive-In,Eagan's Drive-In
Einstein Bros Bagels,Einstein Bros Bagels
El Paragua Restaurant,El Paragua Restaurant
El Pollo Loco,El Pollo Loco
El Tarasco Mexican Food,El Tarasco Mexican Food
Eldon Drive In,Eldon Drive In
Elevation Burger,Elevation Burger
Ernie's All American Burger,Ernie's All American Burger
Everest,Everest
Exxon,Exxon
Fab Wings N Burgers,Fab Wings N Burgers
Fallguys Burger Company,Fallguys Burger Company
Famous Dave's,Famous Dave's
Farmer Boys,Farmer Boys
Fatburger,Fatburger
Fazoli's,Fazoli's
Firehouse Subs,Firehouse Subs
Fitness 19,Fitness 19
Five Guys,Five Guys
Flash Foods / McDonald's,Flash Foods / McDonald's
Flip Burger Bar,Flip Burger Bar
Food 4 Less,Food 4 Less
Foster's Freeze,Foster's Freeze
Fosters Freeze,Fosters Freeze
Fred's Store,Fred's Store
Freddy's Steakburger,Freddy's Steakburger
Fresh City,Fresh City
Frisch's Big Boy,Frisch's Big Boy
Froots,Froots
Frugal's,Frugal's
Frugals,Frugals
Fuku,Fuku
Furr's,Furr's
Gabby's Burgers & Fries,Gabby's Burgers & Fries
Garden Catering,Garden Catering
Garden Fast Food,Garden Fast Food
Geno's Fast Break,Geno's Fast Break
George's Gyros Spot,George's Gyros Spot
Gianni's Pizza,Gianni's Pizza
Gold Star Chili,Gold Star Chili
Golden Chick,Golden Chick
Good Times Burgers & Frozen Custard,Good Times Burgers & Frozen Custard
Goodcents Deli Fresh Subs,Goodcents Deli Fresh Subs
Grandy's,Grandy's
Granny's Drive-In,Granny's Drive-In
Great Steak,Great Steak
Great Steak & Potato Co,Great Steak & Potato Co
Great Steak And Potato Co,Great Steak And Potato Co
Greek Oven Pizza and Wings,Greek Oven Pizza and Wings
Greyhound,Greyhound
Gyros Kings,Gyros Kings
Hamburger King,Hamburger King
Handy's Lunch,Handy's Lunch
Hardee's,Hardee's
Hardee's / Red Burrito,Hardee's / Red Burrito
Hardee's / Red Burrito / Dough Boys,Hardee's / Red Burrito / Dough Boys
Hardees,Hardees
Hegenburgers,Hegenburgers
Hermosa,Hermosa
Hoka Hoka Bento,Hoka Hoka Bento
Home Town Buffet,Home Town Buffet
Hometown Buffet,Hometown Buffet
Hot Dog Heaven,Hot Dog Heaven
Hot Dog On A Stick,Hot Dog On A Stick
Hot Dog on a Stick,Hot Dog on a Stick
Hotdoks,Hotdoks
Hub City Express,Hub City Express
Hunam Garden,Hunam Garden
Hungry Andy's,Hungry Andy's
Iceberg Drive Inn,Iceberg Drive Inn
In-A-Tub,In-A-Tub
In-N-Out Burger,In-N-Out Burger
Integrated Therapy Specialists: Arnold D Larson,Integrated Therapy Specialists: Arnold D Larson
Isabella's Pizzeria,Isabella's Pizzeria
Islands Restaurant,Islands Restaurant
Italian Pizzeria Restaurant,Italian Pizzeria Restaurant
Ivar's Seafood Bar,Ivar's Seafood Bar
J J Fish and Chicken,J J Fish and Chicken
JCW's,JCW's
Jack In The Box,Jack In The Box
Jack Pirtles Chicken,Jack Pirtles Chicken
Jack in the Box,Jack in the Box
Jack's,Jack's
Jacks Grocery,Jacks Grocery
Jamba Juice,Jamba Juice
Jamjam,Jamjam
Jason's Deli,Jason's Deli
Jersey Jacks Eatery,Jersey Jacks Eatery
Jersey Mike's Subs,Jersey Mike's Subs
Jim Bob's Chicken Fingers,Jim Bob's Chicken Fingers
Jim's Coney Island,Jim's Coney Island
Jimmy John's,Jimmy John's
Jimmy John's Gourmet Sandwiches,Jimmy John's Gourmet Sandwiches
Jimmy Johns,Jimmy Johns
Johnny Rockets,Johnny Rockets
Jollibee,Jollibee
Jolly's Drive-In,Jolly's Drive-In
KFC,KFC
KFC - Kentucky Fried Chicken,KFC - Kentucky Fried Chicken
KFC / A&W,KFC / A&W
KFC / Taco Bell,KFC / Taco Bell
KFC/Taco Bell,KFC/Taco Bell
Kam's Chop Suey,Kam's Chop Suey
Kasa's Pizza,Kasa's Pizza
Kennedy Fried Chicken & Pizza,Kennedy Fried Chicken & Pizza
Kenny's Drive-In,Kenny's Drive-In
Kentucky Fried Chicken,Kentucky Fried Chicken
Kerby's Koney Island,Kerby's Koney Island
Kettle Restaurant,Kettle Restaurant
Kfc,Kfc
Kfc - Kentucky Fried Chicken,Kfc - Kentucky Fried Chicken
Kim Lee Fast Food,Kim Lee Fast Food
King Grill,King Grill
Kings Contrivance Jewelers,Kings Contrivance Jewelers
Krystal,Krystal
Kum & Go,Kum & Go
Kum Go,Kum Go
L&L Hawaiian Barbecue,L&L Hawaiian Barbecue
L&l Hawaiian Barbecue,L&l Hawaiian Barbecue
Lanesplitter Pizza & Pub,Lanesplitter Pizza & Pub
Lee's Famous Recipe Chicken,Lee's Famous Recipe Chicken
Lee's Oriental Martial Arts,Lee's Oriental Martial Arts
Lenny's Sub Shop,Lenny's Sub Shop
Lime Ricky World,Lime Ricky World
Lion's Choice,Lion's Choice
Little Caesar's Pizza Smithfield,Little Caesar's Pizza Smithfield
Little Caesars Pizza,Little Caesars Pizza
Ll Hawaiian Barbecue,Ll Hawaiian Barbecue
