state_name,gender_pc
Alabama,34.775000000000006
Alaska,33.15
Arizona,31.575
Arkansas,34.125
California,30.5
Colorado,28.924999999999997
Connecticut,30.875
Delaware,34.05
District of Columbia,26.8
Florida,31.6
Georgia,32.9
Hawaii,28.675000000000004
Idaho,32.175
Illinois,32.55
Indiana,33.55
Iowa,34.225
Kansas,33.25
Kentucky,34.525000000000006
Louisiana,34.625
Maine,32.6
Maryland,32.275
Massachusetts,30.074999999999996
Michigan,33.725
Minnesota,32.25
Mississippi,35.675
Missouri,33.6
Montana,31.2
Nebraska,34.2
Nevada,31.025
New Hampshire,31.625
New Jersey,31.875
New Mexico,32.425
New York,30.450000000000003
North Carolina,33.4
North Dakota,33.875
Ohio,33.125
Oklahoma,34.349999999999994
Oregon,31.225
Pennsylvania,32.7
Rhode Island,31.875
South Carolina,33.725
South Dakota,33.325
Tennessee,34.3
Texas,34.1
Utah,30.025000000000002
Vermont,30.825000000000003
Virginia,32.7
Washington,31.6
West Virginia,35.425
Wisconsin,33.025
Wyoming,31.975
